x,y,group,group_name,total
8,5,A,Better jobs,1321
7,5,A,Better jobs,1321
6,5,A,Better jobs,1321
5,5,A,Better jobs,1321
4,5,A,Better jobs,1321
3,5,A,Better jobs,1321
2,5,A,Better jobs,1321
7,3,A,Better jobs,1321
6,3,A,Better jobs,1321
5,3,A,Better jobs,1321
4,3,A,Better jobs,1321
3,3,A,Better jobs,1321
7,4,A,Better jobs,1321
6,4,A,Better jobs,1321
5,4,A,Better jobs,1321
4,4,A,Better jobs,1321
3,4,A,Better jobs,1321
7,6,A,Better jobs,1321
6,6,A,Better jobs,1321
5,6,A,Better jobs,1321
4,6,A,Better jobs,1321
3,6,A,Better jobs,1321
7,7,A,Better jobs,1321
6,7,A,Better jobs,1321
5,7,A,Better jobs,1321
4,7,A,Better jobs,1321
3,7,A,Better jobs,1321
5,2,B,Not able to pay for food and basic survival,531
2,3,B,Not able to pay for food and basic survival,531
2,4,B,Not able to pay for food and basic survival,531
2,6,B,Not able to pay for food and basic survival,531
2,7,B,Not able to pay for food and basic survival,531
5,8,B,Not able to pay for food and basic survival,531
8,7,B,Not able to pay for food and basic survival,531
8,6,B,Not able to pay for food and basic survival,531
9,5,B,Not able to pay for food and basic survival,531
8,4,B,Not able to pay for food and basic survival,531
8,3,B,Not able to pay for food and basic survival,531
6,8,C,Danger at home,124
4,8,C,Danger at home,124
5,9,C,Danger at home,124
6,2,D,Reunite with family,137
5,1,D,Reunite with family,137
4,2,D,Reunite with family,137
1,5,E,Natural Disasters at Home,52
9,4,F,Send remittances home,277
9,6,F,Send remittances home,277
1,4,F,Send remittances home,277
1,6,F,Send remittances home,277
7,2,F,Send remittances home,277
2,8,F,Send remittances home,277
4,9,G,To study,80
6,1,G,To study,80
